assetId,canonicalLabel,sourceFile,sourceUrl,searchTerms,placementHint,notes
camera-vintage,camera,showcase-source/camera-vintage-handheld.png,,camera; vintage camera; lens; photography; content creation,left,Handheld vintage camera cutout
camera-dslr,camera,showcase-source/camera-dslr-primary.png,,camera; dslr; lens; photography; filming; content creation,right,DSLR camera cutout with transparent background
camera-sony-alpha,camera,showcase-source/camera-sony-alpha.png,,camera; sony camera; mirrorless camera; lens; photography; filming,right,Sony mirrorless camera cutout
camera-rangefinder,camera,showcase-source/camera-fujifilm-rangefinder.png,,camera; rangefinder camera; compact camera; photography,left,Compact rangefinder camera cutout
mortarboard-classic,mortarboard,showcase-source/mortarboard-classic-black.png,,mortarboard; graduation cap; education; graduation; expert; authority,center,Graduation cap cutout
expert-professional,expert,showcase-source/expert-professional-badge.png,,expert; professional; coach; mentor; authority; mastery,center,Professional authority badge cutout
money-roll-purchase,money,showcase-source/money-roll-purchase.png,,money; purchase; purchased; pay; payment; cash; bill; currency; expense,center,Money roll cutout for purchase and payment language
money-bag-profit,money,showcase-source/money-bag-profit.png,,money; profit; revenue; income; cash; currency; financial; success,center,Money bag cutout for profit and cash language
calendar-months-year,calendar,showcase-source/calendar-months-year.png,,calendar; month; months; year; annual; 12 months; timeline,center,Calendar cutout for month and year language
home-modern-exterior,home,showcase-source/home-modern-exterior.png,,home; house; property; from home; remote work; home exterior,center,Modern house exterior cutout
home-luxury-driveway,home,showcase-source/home-luxury-driveway.png,,home; house; property; mansion; luxury house; home exterior,center,Luxury house exterior cutout
thinking-choice,thinking,showcase-source/thinking-choice-emoji.png,,thinking; choice; choose; question; decision; idea,center,Thinking emoji cutout for decision language
phone-rotary,phone,,https://drive.google.com/file/d/1tAYfjdplWx5m499Q-nE19yUmFC0JIDYw/view,phone; rotary telephone; vintage; communication,right,Rotary telephone with a moody vintage finish
brain-silver,brain,,https://drive.google.com/file/d/1IWrxd1VbUwoqXRn8U8YCspUl4yXlzGBq/view,brain; metallic brain; intelligence; sculpture,left,Metallic brain sculpture with reflective highlights
hourglass-sand,hourglass,,https://drive.google.com/file/d/1gFg9IYgE7Y01H5ZQNeHXZF40igFfYxOK/view,hourglass; sand; time; patience; countdown,right,Glass hourglass with flowing sand
building-tall,building,,https://drive.google.com/file/d/1sR5dvK9nqstvJtqz0oh66256uvFK2w8M/view,building; architecture; city; tall; office,right,Tall building with a classical facade
bottle-broken,bottle,,https://drive.google.com/file/d/1iAFjkhB9tG0oET0D1vmOOJHOnSuO1LC2/view,bottle; broken bottle; glass; damage; obstacle,left,Bottle with a dramatic broken look
astronaut-moon,astronaut,,https://drive.google.com/file/d/157pT0aBFQCn2v-YBffjR6xKD5Cz66YdB/view,astronaut; moon; space; exploration; dream,right,Astronaut seated on a moon surface
watch-luxury,watch,,https://drive.google.com/file/d/1Nphmjtm3WcJ9Pd0Yojv_TwAmYZ1LPbUG/view,watch; luxury watch; time; money; wealth,left,Gold watch on a crumpled bill
